train_pct,test_size,run,strategy,test_roc_auc,train_roc_auc,test_accuracy
60,0.4,0,regular,0.9640552080230365,0.9887725114912215,0.94
60,0.4,0,stratified,0.9771052631578947,0.9790058479532164,0.9175
60,0.4,1,regular,0.9565350944555369,0.9930522152744374,0.94
60,0.4,1,stratified,0.9544736842105263,0.9909356725146199,0.925
60,0.4,2,regular,0.9641558441558441,0.9792667509481668,0.92
60,0.4,2,stratified,0.9764473684210526,0.9713450292397661,0.91
60,0.4,3,regular,0.9885526315789475,0.9840350877192983,0.9075
60,0.4,3,stratified,0.9497368421052631,0.99,0.93
60,0.4,4,regular,0.978723404255319,0.9860627177700348,0.92
60,0.4,4,stratified,0.9617105263157895,0.9838011695906432,0.93
70,0.3,0,regular,0.9617857142857142,0.9840298507462687,0.9133333333333333
70,0.3,0,stratified,0.9702923976608187,0.9815682062298604,0.92
70,0.3,1,regular,0.953125,0.9920950362126832,0.9333333333333333
70,0.3,1,stratified,0.9801169590643275,0.9879699248120302,0.9333333333333333
70,0.3,2,regular,0.9618174875906833,0.9833080424886191,0.9366666666666666
70,0.3,2,stratified,0.9854970760233919,0.9697099892588614,0.91
70,0.3,3,regular,0.9887757223030554,0.9826904729453455,0.9166666666666666
70,0.3,3,stratified,0.9550877192982457,0.9906766917293233,0.9366666666666666
70,0.3,4,regular,0.9878362573099415,0.9822556390977444,0.9066666666666666
70,0.3,4,stratified,0.959298245614035,0.9882706766917293,0.96
80,0.2,0,regular,0.962000962000962,0.9787391758482429,0.895
80,0.2,0,stratified,0.971578947368421,0.9835197368421053,0.93
80,0.2,1,regular,0.9605263157894737,0.9905592105263157,0.955
80,0.2,1,stratified,0.9842105263157895,0.9869736842105263,0.92
80,0.2,2,regular,0.8852040816326531,0.984113712374582,0.935
80,0.2,2,stratified,0.9878947368421053,0.9741118421052631,0.92
80,0.2,3,regular,0.9920212765957447,0.9772413316756459,0.945
80,0.2,3,stratified,0.9510526315789474,0.9898684210526316,0.925
80,0.2,4,regular,0.9978947368421053,0.9804276315789474,0.88
80,0.2,4,stratified,0.9889473684210527,0.9791118421052631,0.96
90,0.1,0,regular,0.9965635738831615,0.9851837070664239,0.91
90,0.1,0,stratified,0.9978947368421053,0.9843794671864847,0.96
90,0.1,1,regular,0.950354609929078,0.9864326677994902,0.95
90,0.1,1,stratified,0.9831578947368421,0.9868226120857699,0.9
90,0.1,2,regular,1.0,0.981054701551596,0.92
90,0.1,2,stratified,0.9978947368421053,0.9834957764782326,0.97
90,0.1,3,regular,0.9911347517730497,0.9852644435004247,0.98
90,0.1,3,stratified,0.9663157894736842,0.9860168940870695,0.93
90,0.1,4,regular,0.986254295532646,0.9835374522960265,0.92
90,0.1,4,stratified,0.9957894736842106,0.9857309941520468,0.97
