train_pct,test_size,run,strategy,train_fraud_rate,test_fraud_rate,train_fraud_count,test_fraud_count,train_accuracy,test_accuracy
60,0.4,0,regular,0.03833333333333333,0.0675,23,27,0.935,0.94
60,0.4,0,stratified,0.05,0.05,30,20,0.925,0.9175
60,0.4,1,regular,0.055,0.0425,33,17,0.9416666666666667,0.94
60,0.4,1,stratified,0.05,0.05,30,20,0.945,0.925
60,0.4,2,regular,0.058333333333333334,0.0375,35,15,0.91,0.92
60,0.4,2,stratified,0.05,0.05,30,20,0.9016666666666666,0.91
60,0.4,3,regular,0.05,0.05,30,20,0.9316666666666666,0.9075
60,0.4,3,stratified,0.05,0.05,30,20,0.9366666666666666,0.93
60,0.4,4,regular,0.043333333333333335,0.06,26,24,0.9333333333333333,0.92
60,0.4,4,stratified,0.05,0.05,30,20,0.9116666666666666,0.93
60,0.4,5,regular,0.051666666666666666,0.0475,31,19,0.9116666666666666,0.8875
60,0.4,5,stratified,0.05,0.05,30,20,0.9216666666666666,0.9525
60,0.4,6,regular,0.056666666666666664,0.04,34,16,0.935,0.8925
60,0.4,6,stratified,0.05,0.05,30,20,0.9216666666666666,0.9275
60,0.4,7,regular,0.04833333333333333,0.0525,29,21,0.93,0.9375
60,0.4,7,stratified,0.05,0.05,30,20,0.9166666666666666,0.93
60,0.4,8,regular,0.04666666666666667,0.055,28,22,0.92,0.92
60,0.4,8,stratified,0.05,0.05,30,20,0.9266666666666666,0.915
60,0.4,9,regular,0.041666666666666664,0.0625,25,25,0.9333333333333333,0.8975
60,0.4,9,stratified,0.05,0.05,30,20,0.9166666666666666,0.905
70,0.3,0,regular,0.04285714285714286,0.06666666666666667,30,20,0.9257142857142857,0.9133333333333333
70,0.3,0,stratified,0.05,0.05,35,15,0.9271428571428572,0.92
70,0.3,1,regular,0.04857142857142857,0.05333333333333334,34,16,0.9442857142857143,0.9333333333333333
70,0.3,1,stratified,0.05,0.05,35,15,0.9357142857142857,0.9333333333333333
70,0.3,2,regular,0.05857142857142857,0.03,41,9,0.9228571428571428,0.9366666666666666
70,0.3,2,stratified,0.05,0.05,35,15,0.9014285714285715,0.91
70,0.3,3,regular,0.047142857142857146,0.056666666666666664,33,17,0.9228571428571428,0.9166666666666666
70,0.3,3,stratified,0.05,0.05,35,15,0.9471428571428572,0.9366666666666666
70,0.3,4,regular,0.05,0.05,35,15,0.9314285714285714,0.9066666666666666
70,0.3,4,stratified,0.05,0.05,35,15,0.9428571428571428,0.96
70,0.3,5,regular,0.05,0.05,35,15,0.91,0.86
70,0.3,5,stratified,0.05,0.05,35,15,0.9342857142857143,0.9533333333333334
70,0.3,6,regular,0.05,0.05,35,15,0.9371428571428572,0.8966666666666666
70,0.3,6,stratified,0.05,0.05,35,15,0.9328571428571428,0.9166666666666666
70,0.3,7,regular,0.05,0.05,35,15,0.9214285714285714,0.9266666666666666
70,0.3,7,stratified,0.05,0.05,35,15,0.9257142857142857,0.9366666666666666
70,0.3,8,regular,0.04428571428571428,0.06333333333333334,31,19,0.9314285714285714,0.9333333333333333
70,0.3,8,stratified,0.05,0.05,35,15,0.9214285714285714,0.9266666666666666
70,0.3,9,regular,0.041428571428571426,0.07,29,21,0.9171428571428571,0.88
70,0.3,9,stratified,0.05,0.05,35,15,0.9142857142857143,0.9033333333333333
80,0.2,0,regular,0.04875,0.055,39,11,0.9275,0.895
80,0.2,0,stratified,0.05,0.05,40,10,0.9275,0.93
